id,opened_ts,slug,market_id,side,entry_price,initial_size,remaining_size,entry_edge,entry_note,entry_source,trade_token_id,closed_ts,close_price,close_note,realized_pnl,result,trigger_reason,failure_reason_if_loss
149,2026-03-01T18:02:52.235273+00:00,btc-updown-5m-1772388000,1467738,BUY_NO,0.44999999999999996,21.525610294625096,21.525610294625096,0.3500000000000001,edge=0.3500 spread=0.01 depth=1562.3 imbalance=0.03 source=clob bal=1937.30 risk=9.69,clob,80615008255321508827315211397257163793710479616436254262954375012637599424065,2026-03-01T18:03:05.915193+00:00,0.31999999999999995,auto_stop_loss,-2.7983293383012624,LOSS,edge=0.3500 spread=0.01 depth=1562.3 imbalance=0.03 source=clob bal=1937.30 risk=9.69,Stopped out before reversal / adverse move exceeded stop rule
150,2026-03-01T18:03:40.086681+00:00,btc-updown-5m-1772388000,1467738,BUY_NO,0.38,25.454034173394174,25.454034173394174,0.42000000000000004,edge=0.4200 spread=0.01 depth=1322.6 imbalance=0.60 source=clob bal=1934.51 risk=9.67,clob,80615008255321508827315211397257163793710479616436254262954375012637599424065,2026-03-01T18:03:53.799862+00:00,0.30000000000000004,auto_stop_loss,-2.036322733871533,LOSS,edge=0.4200 spread=0.01 depth=1322.6 imbalance=0.60 source=clob bal=1934.51 risk=9.67,Stopped out before reversal / adverse move exceeded stop rule
151,2026-03-01T18:05:01.563598+00:00,btc-updown-5m-1772388300,1467756,BUY_YES,0.51,19.607843137254903,,0.29000000000000004,edge=0.2900 spread=0.01 depth=4921.3 imbalance=-0.04 source=clob,clob,77537910555105857112848165479925211251276983072225565995802340389494791320605,2026-03-01T18:06:50.504353+00:00,0.62,auto_take_profit,2.156862745098039,WIN,edge=0.2900 spread=0.01 depth=4921.3 imbalance=-0.04 source=clob,
152,2026-03-01T18:05:35.447603+00:00,btc-updown-5m-1772388300,1467756,BUY_YES,0.5,20.0,0.0,0.30000000000000004,edge=0.3000 spread=0.01 depth=2522.0 imbalance=0.21 source=clob,clob,77537910555105857112848165479925211251276983072225565995802340389494791320605,2026-03-01T18:06:50.145012+00:00,0.59,auto_take_profit,1.7999999999999994,WIN,edge=0.3000 spread=0.01 depth=2522.0 imbalance=0.21 source=clob,
153,2026-03-01T18:05:35.526991+00:00,btc-updown-5m-1772388300,1467756,BUY_NO,0.51,18.94578700435378,0.0,0.29000000000000004,edge=0.2900 spread=0.01 depth=2522.0 imbalance=0.21 source=clob bal=1932.47 risk=9.66,clob,110433734029846119545216405137827708476755839738646231520988916016178036208655,2026-03-01T18:06:50.189275+00:00,0.36,auto_stop_loss,-2.8418680506530674,LOSS,edge=0.2900 spread=0.01 depth=2522.0 imbalance=0.21 source=clob bal=1932.47 risk=9.66,Stopped out before reversal / adverse move exceeded stop rule
154,2026-03-01T18:05:55.713795+00:00,btc-updown-5m-1772388300,1467756,BUY_YES,0.49,20.408163265306122,0.0,0.31000000000000005,edge=0.3100 spread=0.01 depth=2704.1 imbalance=0.07 source=clob,clob,77537910555105857112848165479925211251276983072225565995802340389494791320605,2026-03-01T18:06:50.145012+00:00,0.59,auto_take_profit,2.040816326530612,WIN,edge=0.3100 spread=0.01 depth=2704.1 imbalance=0.07 source=clob,
155,2026-03-01T18:06:16.256443+00:00,btc-updown-5m-1772388300,1467756,BUY_YES,0.48,20.833333333333336,0.0,0.32000000000000006,edge=0.3200 spread=0.02 depth=2575.7 imbalance=0.17 source=clob,clob,77537910555105857112848165479925211251276983072225565995802340389494791320605,2026-03-01T18:06:43.325531+00:00,0.57,auto_take_profit,1.8749999999999996,WIN,edge=0.3200 spread=0.02 depth=2575.7 imbalance=0.17 source=clob,
156,2026-03-01T18:06:43.359396+00:00,btc-updown-5m-1772388300,1467756,BUY_NO,0.43000000000000005,22.492386912140528,0.0,0.37,edge=0.3700 spread=0.02 depth=1776.5 imbalance=0.11 source=clob bal=1934.35 risk=9.67,clob,110433734029846119545216405137827708476755839738646231520988916016178036208655,2026-03-01T18:06:50.189275+00:00,0.36,auto_stop_loss,-1.5744670838498385,LOSS,edge=0.3700 spread=0.02 depth=1776.5 imbalance=0.11 source=clob bal=1934.35 risk=9.67,Stopped out before reversal / adverse move exceeded stop rule
157,2026-03-01T18:07:24.128157+00:00,btc-updown-5m-1772388300,1467756,BUY_NO,0.44999999999999996,21.51029575979124,21.51029575979124,0.3500000000000001,edge=0.3500 spread=0.01 depth=1313.9 imbalance=0.11 source=clob bal=1935.93 risk=9.68,clob,110433734029846119545216405137827708476755839738646231520988916016178036208655,2026-03-01T18:08:18.598228+00:00,0.30000000000000004,auto_stop_loss,-3.226544363968684,LOSS,edge=0.3500 spread=0.01 depth=1313.9 imbalance=0.11 source=clob bal=1935.93 risk=9.68,Stopped out before reversal / adverse move exceeded stop rule
158,2026-03-01T18:08:05.130776+00:00,btc-updown-5m-1772388300,1467756,BUY_NO,0.42000000000000004,23.04674545691918,23.04674545691918,0.38,edge=0.3800 spread=0.01 depth=2111.5 imbalance=-0.04 source=clob bal=1935.93 risk=9.68,clob,110433734029846119545216405137827708476755839738646231520988916016178036208655,2026-03-01T18:08:18.598228+00:00,0.30000000000000004,auto_stop_loss,-2.7656094548303014,LOSS,edge=0.3800 spread=0.01 depth=2111.5 imbalance=-0.04 source=clob bal=1935.93 risk=9.68,Stopped out before reversal / adverse move exceeded stop rule
159,2026-03-01T18:08:11.962125+00:00,btc-updown-5m-1772388300,1467756,BUY_YES,0.59,16.406157782891622,0.0,0.21000000000000008,edge=0.2100 spread=0.01 depth=3031.3 imbalance=0.08 source=clob bal=1935.93 risk=9.68,clob,77537910555105857112848165479925211251276983072225565995802340389494791320605,2026-03-01T18:08:18.789048+00:00,0.7,auto_take_profit,1.8046773561180782,WIN,edge=0.2100 spread=0.01 depth=3031.3 imbalance=0.08 source=clob bal=1935.93 risk=9.68,
